study_id,design,outcome,outcome_category,groups,timepoint,timepoint_label,value_type,mean_e,sd_e,n_e,median_e,iqr_low_e,iqr_high_e,min_e,max_e,standard_error_e,ci_lower_e,ci_upper_e,mean_c,sd_c,n_c,median_c,iqr_low_c,iqr_high_c,min_c,max_c,standard_error_c,ci_lower_c,ci_upper_c,unit,reported_format,adjusted,analysis_scale,notes
Vafaeinasab 2025,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,49.25,2.73,23,NA,NA,NA,NA,NA,NA,NA,NA,46.34,2.08,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,2.78,2.051657866,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,1.61506037,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,38.25,15.815,25,NA,NA,NA,NA,NA,NA,NA,NA,38.35,15.795,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,41.2,9.905,25,NA,NA,NA,NA,NA,NA,NA,NA,38.65,15.18,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,3,8.95,25,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2.32,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,2.51,0.79,23,NA,NA,NA,NA,NA,NA,NA,NA,2.73,0.63,24,NA,NA,NA,NA,NA,NA,NA,NA,mV,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,2.5,0.81,23,NA,NA,NA,NA,NA,NA,NA,NA,2.72,0.66,24,NA,NA,NA,NA,NA,NA,NA,NA,mV,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,-0.01,0.619951611,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.500379856,24,NA,NA,NA,NA,NA,NA,NA,NA,mV,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,2.6,1.28,25,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.275,25,NA,NA,NA,NA,NA,NA,NA,NA,implied mV,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,2.9,1.3,25,NA,NA,NA,NA,NA,NA,NA,NA,2,1.34,25,NA,NA,NA,NA,NA,NA,NA,NA,implied mV,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,0.35,0.14,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0.36,25,NA,NA,NA,NA,NA,NA,NA,NA,implied mV,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,41.37,1.63,23,NA,NA,NA,NA,NA,NA,NA,NA,42.26,1.98,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,43.45,2.53,23,NA,NA,NA,NA,NA,NA,NA,NA,42.52,2.4,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Peroneal_nerve_velocity,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,2.08,1.812274814,23,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1.74,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
